[LOSSES]
;;Link           Kentry     Kexit      Kavg       Flap Gate  Seepage   
;;-------------- ---------- ---------- ---------- ---------- ----------
tz111.1          0.150000   0.015000   0.000000   NO         0         
tz112.1          0.150000   0.015000   0.000000   NO         0         
tz113.1          0.150000   0.015000   0.000000   NO         0         
tz114.1          0.150000   0.015000   0.000000   NO         0         
tz115.1          0.150000   0.015000   0.000000   NO         0         
tz116.1          0.150000   0.015000   0.000000   NO         0         
tz117.1          0.150000   0.015000   0.000000   NO         0         
tz118.1          0.150000   0.015000   0.000000   NO         0         
tz119.1          0.150000   0.015000   0.000000   NO         0         
tz120.2          0.150000   0.015000   0.000000   NO         0         
tz121.2          0.150000   0.015000   0.000000   NO         0         
tz122.2          0.150000   0.015000   0.000000   NO         0         
tz123.2          0.150000   0.015000   0.000000   NO         0         
tz124.3          0.150000   0.015000   0.000000   NO         0         
tz125.3          0.150000   0.015000   0.000000   NO         0         
tz126.3          0.150000   0.015000   0.000000   NO         0         
tz127.1          0.150000   0.015000   0.000000   NO         0         
tz128.1          0.150000   0.015000   0.000000   NO         0         
tz129.1          0.150000   0.015000   0.000000   NO         0         
tz130.1          0.150000   0.015000   0.000000   NO         0         
tz131.1          0.150000   0.015000   0.000000   NO         0         
tz132.1          0.150000   0.015000   0.000000   NO         0         
tz32.1           0.150000   0.015000   0.000000   NO         0         
tz147.1          0.150000   0.015000   0.000000   NO         0         
tz148.1          0.150000   0.015000   0.000000   NO         0         
tz149.2          0.150000   0.015000   0.000000   NO         0         
tz150.1          0.150000   0.015000   0.000000   NO         0         
tz151.1          0.150000   0.015000   0.000000   NO         0         
tz152.1          0.150000   0.015000   0.000000   NO         0         
T36.1            0.150000   0.015000   0.000000   NO         0         
T37.1            0.150000   0.015000   0.000000   NO         0         
tz155.1          0.150000   0.015000   0.000000   NO         0         
tz156.1          0.150000   0.015000   0.000000   NO         0         
tz157.1          0.150000   0.015000   0.000000   NO         0         
tz158.1          0.150000   0.015000   0.000000   NO         0         
tz159.1          0.150000   0.015000   0.000000   NO         0         
tz160.1          0.150000   0.015000   0.000000   NO         0         
tz161.1          0.150000   0.015000   0.000000   NO         0         
T17.1            0.150000   0.015000   0.000000   NO         0         
T62.1            0.150000   0.015000   0.000000   NO         0         
TZ133.1          0.150000   0.015000   0.000000   NO         0         
TZ134.1          0.150000   0.015000   0.000000   NO         0         
TZ135.1          0.150000   0.015000   0.000000   NO         0         
TZ136.1          0.150000   0.015000   0.000000   NO         0         
TZ137.1          0.150000   0.015000   0.000000   NO         0         
TZ138.1          0.150000   0.015000   0.000000   NO         0         
TZ139.1          0.150000   0.015000   0.000000   NO         0         
TZ140.1          0.150000   0.015000   0.000000   NO         0         
TZ141.1          0.150000   0.015000   0.000000   NO         0         
TZ142.1          0.150000   0.015000   0.000000   NO         0         
TZ143.1          0.150000   0.015000   0.000000   NO         0         
TZ144.1          0.150000   0.015000   0.000000   NO         0         
TZ145.1          0.150000   0.015000   0.000000   NO         0         
TZ146.1          0.150000   0.015000   0.000000   NO         0         
TZ1461.1         0.150000   0.015000   0.000000   NO         0         
TZ1462.1         0.150000   0.015000   0.000000   NO         0         
TZ1463.1         0.150000   0.015000   0.000000   NO         0         
T51.1            0.150000   0.015000   0.000000   NO         0         
T18.1            0.150000   0.015000   0.000000   NO         0         
