[TIMESERIES]
;;Name           Date       Time       Value     
;;-------------- ---------- ---------- ----------
RainGage2        7/21/2012  11:45      1.2       
RainGage2        7/21/2012  11:50      3.6       
RainGage2        7/21/2012  11:55      1.2       
RainGage2        7/21/2012  12:00      0         
RainGage2        7/21/2012  12:05      1.2       
RainGage2        7/21/2012  12:10      0         
RainGage2        7/21/2012  12:15      0         
RainGage2        7/21/2012  12:20      0         
RainGage2        7/21/2012  12:25      0         
RainGage2        7/21/2012  12:30      0         
RainGage2        7/21/2012  12:35      0         
RainGage2        7/21/2012  12:40      1.2       
RainGage2        7/21/2012  12:45      0         
RainGage2        7/21/2012  12:50      1.2       
RainGage2        7/21/2012  12:55      1.2       
RainGage2        7/21/2012  13:00      0         
RainGage2        7/21/2012  13:05      1.2       
RainGage2        7/21/2012  13:10      0         
RainGage2        7/21/2012  13:15      1.2       
RainGage2        7/21/2012  13:20      2.4       
RainGage2        7/21/2012  13:25      3.6       
RainGage2        7/21/2012  13:30      6         
RainGage2        7/21/2012  13:35      19.2      
RainGage2        7/21/2012  13:40      37.2      
RainGage2        7/21/2012  13:45      74.4      
RainGage2        7/21/2012  13:50      105.6     
RainGage2        7/21/2012  13:55      102       
RainGage2        7/21/2012  14:00      22.8      
RainGage2        7/21/2012  14:05      13.2      
RainGage2        7/21/2012  14:10      8.4       
RainGage2        7/21/2012  14:15      1.2       
RainGage2        7/21/2012  14:20      0         
RainGage2        7/21/2012  14:25      0         
RainGage2        7/21/2012  14:30      2.4       
RainGage2        7/21/2012  14:35      12        
RainGage2        7/21/2012  14:40      39.6      
RainGage2        7/21/2012  14:45      105.6     
RainGage2        7/21/2012  14:50      72        
RainGage2        7/21/2012  14:55      45.6      
RainGage2        7/21/2012  15:00      26.4      
RainGage2        7/21/2012  15:05      7.2       
RainGage2        7/21/2012  15:10      0         
RainGage2        7/21/2012  15:15      1.2       
RainGage2        7/21/2012  15:20      1.2       
RainGage2        7/21/2012  15:25      1.2       
RainGage2        7/21/2012  15:30      3.6       
RainGage2        7/21/2012  15:35      4.8       
RainGage2        7/21/2012  15:40      2.4       
RainGage2        7/21/2012  15:45      2.4       
RainGage2        7/21/2012  15:50      2.4       
RainGage2        7/21/2012  15:55      1.2       
RainGage2        7/21/2012  16:00      1.2       
RainGage2        7/21/2012  16:05      1.2       
RainGage2        7/21/2012  16:10      1.2       
RainGage2        7/21/2012  16:15      1.2       
RainGage2        7/21/2012  16:20      1.2       
RainGage2        7/21/2012  16:25      1.2       
RainGage2        7/21/2012  16:30      4.8       
RainGage2        7/21/2012  16:35      6         
RainGage2        7/21/2012  16:40      6         
RainGage2        7/21/2012  16:45      6         
RainGage2        7/21/2012  16:50      4.8       
RainGage2        7/21/2012  16:55      6         
RainGage2        7/21/2012  17:00      4.8       
RainGage2        7/21/2012  17:05      4.8       
RainGage2        7/21/2012  17:10      2.4       
RainGage2        7/21/2012  17:15      1.2       
RainGage2        7/21/2012  17:20      1.2       
RainGage2        7/21/2012  17:25      0         
RainGage2        7/21/2012  17:30      14.4      
RainGage2        7/21/2012  17:35      42        
RainGage2        7/21/2012  17:40      40.8      
RainGage2        7/21/2012  17:45      20.4      
RainGage2        7/21/2012  17:50      10.8      
RainGage2        7/21/2012  17:55      18        
RainGage2        7/21/2012  18:00      22.8      
RainGage2        7/21/2012  18:05      18        
RainGage2        7/21/2012  18:10      27.6      
RainGage2        7/21/2012  18:15      36        
RainGage2        7/21/2012  18:20      32.4      
RainGage2        7/21/2012  18:25      27.6      
RainGage2        7/21/2012  18:30      32.4      
RainGage2        7/21/2012  18:35      27.6      
RainGage2        7/21/2012  18:40      37.2      
RainGage2        7/21/2012  18:45      40.8      
RainGage2        7/21/2012  18:50      54        
RainGage2        7/21/2012  18:55      82.8      
RainGage2        7/21/2012  19:00      88.8      
RainGage2        7/21/2012  19:05      76.8      
RainGage2        7/21/2012  19:10      38.4      
RainGage2        7/21/2012  19:15      13.2      
RainGage2        7/21/2012  19:20      37.2      
RainGage2        7/21/2012  19:25      28.8      
RainGage2        7/21/2012  19:30      8.4       
RainGage2        7/21/2012  19:35      16.8      
RainGage2        7/21/2012  19:40      14.4      
RainGage2        7/21/2012  19:45      28.8      
RainGage2        7/21/2012  19:50      39.6      
RainGage2        7/21/2012  19:55      15.6      
RainGage2        7/21/2012  20:00      9.6       
RainGage2        7/21/2012  20:05      10.8      
RainGage2        7/21/2012  20:10      13.2      
RainGage2        7/21/2012  20:15      10.8      
RainGage2        7/21/2012  20:20      8.4       
RainGage2        7/21/2012  20:25      3.6       
RainGage2        7/21/2012  20:30      2.4       
RainGage2        7/21/2012  20:35      2.4       
RainGage2        7/21/2012  20:40      3.6       
RainGage2        7/21/2012  20:45      2.4       
RainGage2        7/21/2012  20:50      3.6       
RainGage2        7/21/2012  20:55      1.2       
RainGage2        7/21/2012  21:00      2.4       
RainGage2        7/21/2012  21:05      7.2       
RainGage2        7/21/2012  21:10      6         
RainGage2        7/21/2012  21:15      6         
RainGage2        7/21/2012  21:20      10.8      
RainGage2        7/21/2012  21:25      20.4      
RainGage2        7/21/2012  21:30      30        
RainGage2        7/21/2012  21:35      16.8      
RainGage2        7/21/2012  21:40      14.4      
RainGage2        7/21/2012  21:45      13.2      
RainGage2        7/21/2012  21:50      8.4       
RainGage2        7/21/2012  21:55      4.8       
RainGage2        7/21/2012  22:00      6         
RainGage2        7/21/2012  22:05      7.2       
RainGage2        7/21/2012  22:10      9.6       
RainGage2        7/21/2012  22:15      8.4       
RainGage2        7/21/2012  22:20      8.4       
RainGage2        7/21/2012  22:25      4.8       
RainGage2        7/21/2012  22:30      3.6       
RainGage2        7/21/2012  22:35      3.6       
RainGage2        7/21/2012  22:40      1.2       
RainGage2        7/21/2012  22:45      1.2       
RainGage2        7/21/2012  22:50      4.8       
RainGage2        7/21/2012  22:55      3.6       
RainGage2        7/21/2012  23:00      2.4       
RainGage2        7/21/2012  23:05      3.6       
RainGage2        7/21/2012  23:10      3.6       
