[Polygons]
;;Subcatchment   X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
S21556           504818.314         321422.284        
S21556           504815.939         321457.580        
S21552           503954.286         321431.229        
S21552           504022.709         321491.010        
S21552           504810.542         321535.916        
S21552           504813.046         321503.734        
S21552           504807.261         321497.602        
S21552           503954.286         321431.229        
S23932           504797.848         321706.956        
S23932           505140.727         321728.318        
S23932           505145.601         321689.750        
S23932           505145.254         321686.992        
S23932           504805.877         321667.939        
S23932           504797.848         321706.956        
S23867           504802.003         321664.478        
S23867           504805.877         321667.939        
S23867           505145.254         321686.992        
S23867           505143.214         321644.905        
S23867           504810.615         321623.302        
S23867           504805.498         321630.111        
S23867           504802.003         321664.478        
S23869           504792.333         321583.328        
S23869           504796.908         321587.305        
S23869           505143.665         321610.331        
S23869           505145.438         321581.201        
S23869           504809.199         321561.003        
S23869           504792.333         321583.328        
S21760           504809.199         321561.003        
S21760           505145.438         321581.201        
S21760           505147.585         321559.398        
S21760           504810.667         321536.115        
S21760           504809.199         321561.003        
S23868           504796.908         321587.305        
S23868           504810.615         321623.302        
S23868           505143.214         321644.905        
S23868           505143.665         321610.331        
S23868           504796.908         321587.305        
S21508           504077.294         321540.370        
S21508           504136.693         321599.652        
S21508           504805.498         321630.111        
S21508           504810.615         321623.302        
S21508           504796.908         321587.305        
S21508           504792.333         321583.328        
S21508           504077.294         321540.370        
S23108           504136.693         321599.652        
S23108           504157.286         321620.910        
S23108           504802.003         321664.478        
S23108           504805.498         321630.111        
S23108           504136.693         321599.652        
S21506           504184.971         321651.617        
S21506           504213.547         321684.360        
S21506           504225.429         321696.313        
S21506           504790.977         321750.523        
S21506           504800.289         321741.617        
S21506           504796.897         321707.832        
S21506           504184.971         321651.617        
S21509           504022.709         321491.010        
S21509           504077.294         321540.370        
S21509           504792.333         321583.328        
S21509           504809.199         321561.003        
S21509           504810.667         321536.115        
S21509           504810.542         321535.916        
S21509           504022.709         321491.010        
S21507           504157.286         321620.910        
S21507           504183.546         321650.091        
S21507           504184.971         321651.617        
S21507           504796.897         321707.832        
S21507           504797.848         321706.956        
S21507           504805.877         321667.939        
S21507           504802.003         321664.478        
S21507           504157.286         321620.910        
S21775           504225.429         321696.313        
S21775           504291.279         321768.260        
S21775           504326.436         321800.727        
S21775           504758.032         321822.518        
S21775           504800.137         321787.971        
S21775           504790.977         321750.523        
S21775           504225.429         321696.313        
S22058           504790.977         321750.523        
S22058           504800.137         321787.971        
S22058           505136.958         321810.790        
S22058           505137.847         321763.918        
S22058           504800.289         321741.617        
S22058           504790.977         321750.523        
ST14             506674.770         323609.194        
ST14             506707.840         323660.867        
ST14             507114.241         323394.166        
ST14             507144.477         323354.626        
ST14             507125.278         323340.079        
ST14             506994.357         323352.068        
ST14             506674.770         323609.194        
Stz105           506653.451         323575.884        
Stz105           506674.770         323609.194        
Stz105           506994.357         323352.068        
Stz105           507066.781         323280.620        
Stz105           507074.509         323193.185        
Stz105           507065.749         323169.144        
Stz105           506653.451         323575.884        
Stz106           506612.138         323511.332        
Stz106           506653.451         323575.884        
Stz106           507065.749         323169.144        
Stz106           507063.600         323110.949        
Stz106           507050.711         323078.671        
Stz106           506612.138         323511.332        
ST27             504326.515         323526.848        
ST27             504625.036         323565.617        
ST27             504806.411         323554.101        
ST27             504870.338         323472.569        
ST27             504837.075         323455.041        
ST27             504326.515         323526.848        
ST19             504806.411         323554.101        
ST19             505175.492         323530.667        
ST19             505162.394         323429.294        
ST19             504870.338         323472.569        
ST19             504806.411         323554.101        
ST9              505162.394         323429.294        
ST9              505175.492         323530.667        
ST9              505425.138         323514.817        
ST9              506037.500         323508.232        
ST9              506031.033         323500.504        
ST9              505945.271         323413.237        
ST9              505162.981         323412.402        
ST9              505162.394         323429.294        
Stz1             504117.269         323495.274        
Stz1             504136.085         323502.117        
Stz1             504326.515         323526.848        
Stz1             504837.075         323455.041        
Stz1             504829.736         323395.071        
Stz1             504117.269         323495.274        
Stz107           506514.524         323503.103        
Stz107           506606.240         323502.117        
Stz107           506612.138         323511.332        
Stz107           507050.711         323078.671        
Stz107           507044.620         323039.972        
Stz107           507027.199         322997.338        
Stz107           506514.524         323503.103        
Stz86            506031.023         322662.525        
Stz86            506031.033         323500.504        
Stz86            506037.500         323508.232        
Stz86            506115.714         323507.391        
Stz86            506115.703         322697.337        
Stz86            506094.956         322685.658        
Stz86            506031.023         322662.525        
Stz87            506115.703         322697.337        
Stz87            506115.714         323507.391        
Stz87            506192.002         323506.571        
Stz87            506191.992         322728.709        
Stz87            506175.886         322719.307        
Stz87            506115.703         322697.337        
Stz88            506191.992         322728.709        
Stz88            506192.002         323506.571        
Stz88            506273.631         323505.693        
Stz88            506273.621         322764.599        
Stz88            506247.789         322749.458        
Stz88            506191.992         322728.709        
Stz89            506273.621         322764.599        
Stz89            506273.631         323505.693        
Stz89            506378.709         323504.563        
Stz89            506378.700         322811.316        
Stz89            506372.848         322806.358        
Stz89            506312.538         322775.688        
Stz89            506273.621         322764.599        
ST5              506378.700         322811.316        
ST5              506378.709         323504.563        
ST5              506442.162         323503.881        
ST5              506463.891         323453.251        
ST5              506513.784         323311.294        
ST5              506546.944         323184.274        
ST5              506560.241         323075.310        
ST5              506556.845         323016.011        
ST5              506401.291         322817.403        
ST5              506378.700         322811.316        
Stz108           506442.162         323503.881        
Stz108           506514.524         323503.103        
Stz108           507027.199         322997.338        
Stz108           507016.358         322947.550        
Stz108           507006.837         322924.438        
Stz108           507004.397         322920.030        
Stz108           506463.891         323453.251        
Stz108           506442.162         323503.881        
Stz85            505944.816         322614.468        
Stz85            505944.826         323412.717        
Stz85            505945.271         323413.237        
Stz85            506031.033         323500.504        
Stz85            506031.023         322662.525        
Stz85            505944.816         322614.468        
Stz2             504065.974         323450.495        
Stz2             504066.235         323476.716        
Stz2             504117.269         323495.274        
Stz2             504829.736         323395.071        
Stz2             504867.635         323362.513        
Stz2             504810.150         323331.377        
Stz2             504082.944         323433.653        
Stz2             504065.974         323450.495        
Stz23            504829.736         323395.071        
Stz23            504837.075         323455.041        
Stz23            504870.338         323472.569        
Stz23            505162.394         323429.294        
Stz23            505162.981         323412.402        
Stz23            505157.844         323341.397        
Stz23            505153.684         323320.128        
Stz23            504867.635         323362.513        
Stz23            504829.736         323395.071        
Stz109           506463.891         323453.251        
Stz109           507004.397         322920.030        
Stz109           506985.564         322870.787        
Stz109           506980.698         322860.977        
Stz109           506969.498         322861.723        
Stz109           506513.784         323311.294        
Stz109           506463.891         323453.251        
ST53             504058.263         322674.415        
ST53             504065.974         323450.495        
ST53             504082.944         323433.653        
ST53             504157.581         323352.237        
ST53             504225.108         323269.682        
ST53             504284.388         323186.801        
ST53             504331.451         323109.080        
ST53             504370.198         323032.528        
ST53             504401.111         322953.077        
ST53             504423.695         322869.402        
ST53             504438.740         322749.966        
ST53             504440.046         322677.243        
ST53             504439.888         322676.025        
ST53             504058.263         322674.415        
Stz3             504082.944         323433.653        
Stz3             504810.150         323331.377        
Stz3             504824.726         323258.408        
Stz3             504157.581         323352.237        
Stz3             504082.944         323433.653        
Stz155           505157.844         323341.397        
Stz155           505162.981         323412.402        
Stz155           505945.271         323413.237        
Stz155           505944.826         323412.717        
Stz155           505873.037         323342.161        
Stz155           505157.844         323341.397        
Stz84            505860.898         322577.035        
Stz84            505860.908         323327.759        
Stz84            505873.037         323342.161        
Stz84            505944.826         323412.717        
Stz84            505944.816         322614.468        
Stz84            505888.416         322572.929        
Stz84            505879.355         322573.620        
Stz84            505860.898         322577.035        
Stz24            504810.150         323331.377        
Stz24            504867.635         323362.513        
Stz24            505153.684         323320.128        
Stz24            505153.545         323295.528        
Stz24            505119.528         323261.855        
Stz24            505054.201         323214.161        
Stz24            504845.181         323245.132        
Stz24            504824.726         323258.408        
Stz24            504810.150         323331.377        
Stz131           507066.781         323280.620        
Stz131           507125.278         323340.079        
Stz131           507144.477         323354.626        
Stz131           507196.975         323285.975        
Stz131           507074.509         323193.185        
Stz131           507066.781         323280.620        
Stz4             504157.581         323352.237        
Stz4             504824.726         323258.408        
Stz4             504845.181         323245.132        
Stz4             504782.684         323191.263        
Stz4             504225.108         323269.682        
Stz4             504157.581         323352.237        
ST12             506994.357         323352.068        
ST12             507125.278         323340.079        
ST12             507066.781         323280.620        
ST12             506994.357         323352.068        
Stz39            505153.545         323295.528        
Stz39            505153.684         323320.128        
Stz39            505157.844         323341.397        
Stz39            505873.037         323342.161        
Stz39            505860.908         323327.759        
Stz39            505794.837         323264.786        
Stz39            505186.641         323264.137        
Stz39            505153.545         323295.528        
Stz83            505780.717         322614.193        
Stz83            505782.046         323249.249        
Stz83            505794.837         323264.786        
Stz83            505860.908         323327.759        
Stz83            505860.898         322577.035        
Stz83            505810.631         322580.333        
Stz83            505780.717         322614.193        
Stz110           506513.784         323311.294        
Stz110           506969.498         322861.723        
Stz110           506878.752         322856.939        
Stz110           506546.944         323184.274        
Stz110           506513.784         323311.294        
Stz77            505119.203         322645.514        
Stz77            505119.528         323261.855        
Stz77            505153.545         323295.528        
