[JUNCTIONS]
;;Name           Elevation  MaxDepth   InitDepth  SurDepth   Aponded   
;;-------------- ---------- ---------- ---------- ---------- ----------
T18              27.280000  3.211413   0.000000   0.000000   200.000000
T19              36.350000  3.641798   0.000000   0.000000   200.000000
T20              34.390000  5.129135   0.000000   0.000000   200.000000
T21              34.110000  4.568070   0.000000   0.000000   200.000000
T22              33.970000  3.199922   0.000000   0.000000   200.000000
T23              30.760000  3.587549   0.000000   0.000000   200.000000
T27              35.910000  3.890892   0.000000   0.000000   200.000000
T28              34.580000  4.738611   0.000000   0.000000   200.000000
T29              31.920000  4.242102   0.000000   0.000000   200.000000
T30              30.390000  3.942848   0.000000   0.000000   200.000000
T34              33.220000  1.638784   0.000000   0.000000   200.000000
T35              32.420000  1.817778   0.000000   0.000000   200.000000
T36              32.400000  1.962236   0.000000   0.000000   200.000000
T37              32.380000  1.906709   0.000000   0.000000   200.000000
T38              32.190000  2.058802   0.000000   0.000000   200.000000
T39              34.120000  3.657435   0.000000   0.000000   200.000000
T40              33.090000  2.759228   0.000000   0.000000   200.000000
T41              31.020000  3.397030   0.000000   0.000000   200.000000
T45              29.990000  2.468626   0.000000   0.000000   200.000000
T46              30.160000  3.109543   0.000000   0.000000   200.000000
T47              29.090000  4.782925   0.000000   0.000000   200.000000
T48              30.450000  3.200000   0.000000   0.000000   200.000000
T49              30.240000  1.896215   0.000000   0.000000   200.000000
T51              32.210000  2.745544   0.000000   0.000000   200.000000
T52              32.210000  2.894134   0.000000   0.000000   200.000000
T53              32.350000  3.013716   0.000000   0.000000   200.000000
T54              32.290000  2.112573   0.000000   0.000000   200.000000
T55              32.850000  1.570128   0.000000   0.000000   200.000000
T56              31.310000  3.167863   0.000000   0.000000   200.000000
T57              31.590000  2.596222   0.000000   0.000000   200.000000
T58              31.450000  2.704640   0.000000   0.000000   200.000000
T59              31.140000  2.821555   0.000000   0.000000   200.000000
T60              30.550000  3.850970   0.000000   0.000000   200.000000
T61              30.310000  3.722295   0.000000   0.000000   200.000000
T62              32.360000  2.322911   0.000000   0.000000   200.000000
tz1              35.801981  3.804510   0.000000   0.000000   200.000000
tz2              35.683413  3.840750   0.000000   0.000000   200.000000
tz3              35.555162  4.130816   0.000000   0.000000   200.000000
tz4              35.419991  4.468845   0.000000   0.000000   200.000000
tz5              35.283798  4.566216   0.000000   0.000000   200.000000
tz6              35.143105  4.528336   0.000000   0.000000   200.000000
tz7              35.019695  4.531746   0.000000   0.000000   200.000000
tz8              34.879002  4.780651   0.000000   0.000000   200.000000
tz9              34.740729  5.100446   0.000000   0.000000   200.000000
tz10             33.848801  4.851936   0.000000   0.000000   200.000000
tz11             32.843439  4.516119   0.000000   0.000000   200.000000
tz12             31.517180  3.971788   0.000000   0.000000   200.000000
tz13             31.177084  3.704889   0.000000   0.000000   200.000000
tz14             30.768947  3.673936   0.000000   0.000000   200.000000
tz15             30.287626  4.121901   0.000000   0.000000   200.000000
tz16             30.173808  4.193284   0.000000   0.000000   200.000000
tz17             30.063137  3.997063   0.000000   0.000000   200.000000
tz18             29.949319  4.124629   0.000000   0.000000   200.000000
tz23             36.080999  3.696680   0.000000   0.000000   200.000000
tz24             35.763556  3.992532   0.000000   0.000000   200.000000
tz25             35.440129  4.471508   0.000000   0.000000   200.000000
tz26             35.104733  4.584923   0.000000   0.000000   200.000000
tz27             34.731087  4.984916   0.000000   0.000000   200.000000
tz28             32.963070  2.962208   0.000000   0.000000   200.000000
tz29             31.824624  2.851745   0.000000   0.000000   200.000000
tz30             30.567655  3.796061   0.000000   0.000000   200.000000
tz31             30.369519  3.707649   0.000000   0.000000   200.000000
tz32             30.178321  4.477937   0.000000   0.000000   200.000000
